3001,4,1001,1200,1250,2025-01-01,true
3002,5,1002,900,960,2025-01-02,true
3003,6,1003,1500,1570,2025-01-03,true
3004,7,1004,700,730,2025-01-04,true
3005,9,1005,1800,1900,2025-01-05,true
3006,10,1006,1100,1150,2025-01-06,true
3007,11,1007,1300,1325,2025-01-07,true
3008,12,1008,1600,1680,2025-01-08,true
3009,13,1009,1400,1460,2025-01-09,true
3010,15,1012,1000,1075,2025-01-10,true
3011,4,1001,1250,1300,2025-01-15,true
3012,5,1002,960,1020,2025-01-16,true
3013,6,1003,1570,1640,2025-01-17,true
3014,7,1004,760,730,2025-01-18,false
3015,9,1005,1900,1980,2025-01-19,true
891440,4,1001,1300,1350,2025-12-18,false
999332,4,1001,1300,1355,2025-12-18,true
228213,4,1001,1355,1360,2025-12-18,true
430304,4,1001,1360,1400,2025-12-18,true
517703,4,1001,1400,2000,2025-12-18,true
600122,4,1001,2000,3000,2025-12-18,true
649612,4,1001,3000,3500,2025-12-18,true
239390,4,1001,3500,3500,2025-12-18,true
